Machine_ID,Readings,Health_Index,Health_Index_P05,Avg_Temperature,Avg_Vibration,Avg_Power,Avg_Production_Speed,Speed_Std,Defect_Rate,Defect_Density,Error_Frequency,Maintenance_Score,Avg_Latency,Avg_Packet_Loss,Breach_Rate,Good_Units,High_Pct,Medium_Pct,Low_Pct,Speed_CV
8,1967,86.884,57.32,60.173,2.554,5.784,276.049,133.631,5.071,13.922,7.615,0.503,25.426,2.489,93.594,262.127,2.745,16.828,80.427,48.409
3,2001,86.967,55.882,59.411,2.604,5.912,278.818,127.88,5.048,14.037,7.599,0.489,26.008,2.5,92.504,264.781,2.799,18.541,78.661,45.865
33,1956,86.973,55.763,60.988,2.555,5.799,274.861,129.327,5.052,13.757,7.44,0.501,25.375,2.469,92.536,261.104,2.71,19.274,78.016,47.052
16,2008,86.987,56.36,60.51,2.555,5.81,284.798,129.724,5.022,14.332,7.505,0.494,25.925,2.51,93.277,270.465,3.187,20.618,76.195,45.55
17,2061,86.994,58.464,60.537,2.555,5.758,270.802,127.496,5.026,13.561,7.508,0.499,25.556,2.507,93.159,257.241,2.863,18.68,78.457,47.081
38,2057,87.012,56.927,60.541,2.587,5.69,271.341,128.958,5.06,13.642,7.614,0.504,25.395,2.481,93.048,257.699,2.868,19.349,77.783,47.526
42,2018,87.044,54.528,60.454,2.538,5.759,275.357,131.119,5.048,13.822,7.578,0.508,25.673,2.507,92.418,261.535,2.775,18.682,78.543,47.618
26,2059,87.046,57.874,59.952,2.602,5.787,279.338,131.183,4.937,13.668,7.372,0.493,24.933,2.508,91.986,265.67,3.108,19.767,77.125,46.962
9,1991,87.051,56.372,60.276,2.549,5.702,272.012,129.452,5.148,13.963,7.51,0.499,25.311,2.49,92.818,258.049,2.712,17.83,79.458,47.59
20,1970,87.149,56.266,60.121,2.561,5.807,276.597,130.453,5.029,13.831,7.387,0.491,25.183,2.492,93.147,262.766,2.792,21.117,76.091,47.163
